n_blocks,insert_bps,erase_bps
726,1.47714e+07,3.55e+07
728,1.401e+08,3.55e+07
727,1.401e+08,2.202e+08
729,8.16092e+06,2.202e+08
729,8.16092e+06,978495
731,4.05618e+06,978495
731,4.05618e+06,1.31889e+07
731,4.05618e+06,2.36364e+06
733,1.61125e+08,2.36364e+06
733,1.61125e+08,1.80571e+08
735,3.475e+07,1.80571e+08
735,3.475e+07,2.4e+07
735,3.475e+07,3.6e+06
737,1.96774e+06,3.6e+06
739,6.86279e+07,3.6e+06
738,6.86279e+07,4.66818e+07
740,1.7275e+07,4.66818e+07
742,9.44565e+06,4.66818e+07
742,9.44565e+06,2.18791e+07
742,9.44565e+06,1.99737e+07
744,2.52836e+07,1.99737e+07
746,1.12167e+08,1.99737e+07
746,1.12167e+08,2.07732e+07
748,2.18519e+07,2.07732e+07
748,2.18519e+07,3.56585e+07
750,1.35476e+07,3.56585e+07
750,1.35476e+07,84337.3
749,1.35476e+07,7.225e+07
751,2.4131e+07,7.225e+07
750,2.4131e+07,1.67179e+07
752,1.32414e+07,1.67179e+07
754,3.288e+07,1.67179e+07
754,3.288e+07,2.31622e+07
752,3.288e+07,4.59688e+07
754,1.55165e+07,4.59688e+07
754,1.55165e+07,6.74194e+06
756,2.57576e+06,6.74194e+06
756,2.57576e+06,2.01562e+07
758,5.52812e+07,2.01562e+07
758,5.52812e+07,1.83366e+07
760,1.88841e+07,1.83366e+07
760,1.88841e+07,1.6463e+07
762,5.39302e+07,1.6463e+07
764,566265,1.6463e+07
764,566265,1.256e+07
759,566265,4.11121e+07
761,1.0407e+08,4.11121e+07
760,1.0407e+08,3.41846e+07
762,9.81364e+07,3.41846e+07
760,9.81364e+07,2.27595e+07
762,2.51139e+07,2.27595e+07
762,2.51139e+07,7.76923e+06
762,2.51139e+07,2.15224e+07
764,6.51e+07,2.15224e+07
764,6.51e+07,3e+07
764,6.51e+07,1.968e+07
766,3.06125e+08,1.968e+07
764,3.06125e+08,1.263e+08
766,2.65909e+07,1.263e+08
768,5.73418e+06,1.263e+08
768,5.73418e+06,2.96957e+07
768,5.73418e+06,2.22759e+07
770,3.06623e+07,2.22759e+07
770,3.06623e+07,4.84706e+06
767,3.06623e+07,1.65615e+08
769,9.12281e+06,1.65615e+08
769,9.12281e+06,1.4125e+07
771,2.37778e+07,1.4125e+07
770,2.37778e+07,3.48286e+08
772,3.02727e+07,3.48286e+08
772,3.02727e+07,1.45556e+07
774,3.98413e+06,1.45556e+07
774,3.98413e+06,1.0101e+06
776,5.92778e+07,1.0101e+06
775,5.92778e+07,4.30833e+07
777,1.35385e+07,4.30833e+07
777,1.35385e+07,1.15882e+07
779,5.54737e+07,1.15882e+07
781,1.02787e+07,1.15882e+07
783,3.8125e+06,1.15882e+07
782,3.8125e+06,2.41714e+08
784,1.252e+08,2.41714e+08
784,1.252e+08,4.68824e+07
784,1.252e+08,47058.8
786,1.97778e+07,47058.8
786,1.97778e+07,1.36875e+07
788,1.14286e+06,1.36875e+07
790,3.10811e+07,1.36875e+07
790,3.10811e+07,3.52577e+06
789,3.10811e+07,1.59375e+07
791,8.73333e+07,1.59375e+07
791,8.73333e+07,1.21163e+07
791,8.73333e+07,6.11429e+07
791,8.73333e+07,1.41414e+06
791,8.73333e+07,2.05714e+06
791,8.73333e+07,8.5641e+06
793,3.58571e+07,8.5641e+06
793,3.58571e+07,1.01905e+07
793,3.58571e+07,1.08e+07
793,3.58571e+07,1.94667e+07
795,4.25303e+07,1.94667e+07
797,2.77011e+06,1.94667e+07
797,2.77011e+06,2.64505e+07
799,2.36923e+07,2.64505e+07
801,9.1e+07,2.64505e+07
803,8.67273e+07,2.64505e+07
803,8.67273e+07,4.47561e+07
802,8.67273e+07,2.55667e+08
804,509091,2.55667e+08
804,509091,2.92857e+07
806,8.03846e+06,2.92857e+07
808,2.796e+07,2.92857e+07
810,4.24783e+07,2.92857e+07
810,4.24783e+07,2.70857e+07
810,4.24783e+07,7.87e+06
810,4.24783e+07,6.70161e+06
812,1.74416e+07,6.70161e+06
814,8.16667e+06,6.70161e+06
814,8.16667e+06,3.55429e+06
816,1.84e+08,3.55429e+06
814,1.84e+08,2.39659e+07
814,1.84e+08,6.33333e+06
814,1.84e+08,1.65e+07
816,2.96296e+06,1.65e+07
816,2.96296e+06,3.04587e+06
818,1.79677e+07,3.04587e+06
818,1.79677e+07,1.66885e+07
820,9.03774e+06,1.66885e+07
820,9.03774e+06,3.94545e+06
822,2.20222e+07,3.94545e+06
822,2.20222e+07,1.17143e+06
822,2.20222e+07,5.4325e+07
824,1.66604e+07,5.4325e+07
823,1.66604e+07,1.4e+07
825,2.78158e+07,1.4e+07
827,1.15152e+06,1.4e+07
829,493506,1.4e+07
831,821053,1.4e+07
831,821053,6.30435e+06
833,3.21471e+07,6.30435e+06
835,1.872e+07,6.30435e+06
837,1.0359e+07,6.30435e+06
